date,amazon
2016-06-19,50.0
2016-06-20,50.0
2016-06-21,50.0
2016-06-22,50.0
2016-06-23,50.0
2016-06-24,50.0
2016-06-25,50.0
2016-06-26,50.0
2016-06-27,50.142857142857146
2016-06-28,50.285714285714285
2016-06-29,50.42857142857143
2016-06-30,50.57142857142857
2016-07-01,50.714285714285715
2016-07-02,50.857142857142854
2016-07-03,51.0
2016-07-04,52.57142857142857
2016-07-05,54.142857142857146
2016-07-06,55.714285714285715
2016-07-07,57.285714285714285
2016-07-08,58.857142857142854
2016-07-09,60.42857142857143
2016-07-10,62.0
2016-07-11,60.57142857142857
2016-07-12,59.142857142857146
2016-07-13,57.714285714285715
2016-07-14,56.285714285714285
2016-07-15,54.857142857142854
2016-07-16,53.42857142857143
2016-07-17,52.0
2016-07-18,52.142857142857146
2016-07-19,52.285714285714285
2016-07-20,52.42857142857143
2016-07-21,52.57142857142857
2016-07-22,52.714285714285715
2016-07-23,52.857142857142854
2016-07-24,53.0
2016-07-25,53.0
2016-07-26,53.0
2016-07-27,53.0
2016-07-28,53.0
2016-07-29,53.0
2016-07-30,53.0
2016-07-31,53.0
2016-08-01,52.714285714285715
2016-08-02,52.42857142857143
2016-08-03,52.142857142857146
2016-08-04,51.857142857142854
2016-08-05,51.57142857142857
2016-08-06,51.285714285714285
2016-08-07,51.0
2016-08-08,51.142857142857146
2016-08-09,51.285714285714285
2016-08-10,51.42857142857143
2016-08-11,51.57142857142857
2016-08-12,51.714285714285715
2016-08-13,51.857142857142854
2016-08-14,52.0
2016-08-15,52.42857142857143
2016-08-16,52.857142857142854
2016-08-17,53.285714285714285
2016-08-18,53.714285714285715
2016-08-19,54.142857142857146
2016-08-20,54.57142857142857
2016-08-21,55.0
2016-08-22,54.714285714285715
2016-08-23,54.42857142857143
2016-08-24,54.142857142857146
2016-08-25,53.857142857142854
2016-08-26,53.57142857142857
2016-08-27,53.285714285714285
2016-08-28,53.0
2016-08-29,52.714285714285715
2016-08-30,52.42857142857143
2016-08-31,52.142857142857146
2016-09-01,51.857142857142854
2016-09-02,51.57142857142857
2016-09-03,51.285714285714285
2016-09-04,51.0
2016-09-05,51.0
2016-09-06,51.0
2016-09-07,51.0
2016-09-08,51.0
2016-09-09,51.0
2016-09-10,51.0
2016-09-11,51.0
2016-09-12,50.857142857142854
2016-09-13,50.714285714285715
2016-09-14,50.57142857142857
2016-09-15,50.42857142857143
2016-09-16,50.285714285714285
2016-09-17,50.142857142857146
2016-09-18,50.0
2016-09-19,49.857142857142854
2016-09-20,49.714285714285715
2016-09-21,49.57142857142857
2016-09-22,49.42857142857143
2016-09-23,49.285714285714285
2016-09-24,49.142857142857146
2016-09-25,49.0
2016-09-26,49.0
2016-09-27,49.0
2016-09-28,49.0
2016-09-29,49.0
2016-09-30,49.0
2016-10-01,49.0
2016-10-02,49.0
2016-10-03,49.285714285714285
2016-10-04,49.57142857142857
2016-10-05,49.857142857142854
2016-10-06,50.142857142857146
2016-10-07,50.42857142857143
2016-10-08,50.714285714285715
2016-10-09,51.0
2016-10-10,51.142857142857146
2016-10-11,51.285714285714285
2016-10-12,51.42857142857143
2016-10-13,51.57142857142857
2016-10-14,51.714285714285715
2016-10-15,51.857142857142854
2016-10-16,52.0
2016-10-17,52.0
2016-10-18,52.0
2016-10-19,52.0
2016-10-20,52.0
2016-10-21,52.0
2016-10-22,52.0
2016-10-23,52.0
2016-10-24,51.714285714285715
2016-10-25,51.42857142857143
2016-10-26,51.142857142857146
2016-10-27,50.857142857142854
2016-10-28,50.57142857142857
2016-10-29,50.285714285714285
2016-10-30,50.0
2016-10-31,49.857142857142854
2016-11-01,49.714285714285715
2016-11-02,49.57142857142857
2016-11-03,49.42857142857143
2016-11-04,49.285714285714285
2016-11-05,49.142857142857146
2016-11-06,49.0
2016-11-07,50.285714285714285
2016-11-08,51.57142857142857
2016-11-09,52.85714285714286
2016-11-10,54.142857142857146
2016-11-11,55.42857142857143
2016-11-12,56.714285714285715
2016-11-13,58.0
2016-11-14,60.57142857142857
2016-11-15,63.142857142857146
2016-11-16,65.71428571428572
2016-11-17,68.28571428571429
2016-11-18,70.85714285714286
2016-11-19,73.42857142857143
2016-11-20,76.0
2016-11-21,76.85714285714286
2016-11-22,77.71428571428571
2016-11-23,78.57142857142857
2016-11-24,79.42857142857143
2016-11-25,80.28571428571429
2016-11-26,81.14285714285714
2016-11-27,82.0
2016-11-28,80.85714285714286
2016-11-29,79.71428571428571
2016-11-30,78.57142857142857
2016-12-01,77.42857142857143
2016-12-02,76.28571428571429
2016-12-03,75.14285714285714
2016-12-04,74.0
2016-12-05,74.85714285714286
2016-12-06,75.71428571428571
2016-12-07,76.57142857142857
2016-12-08,77.42857142857143
2016-12-09,78.28571428571429
2016-12-10,79.14285714285714
2016-12-11,80.0
2016-12-12,79.42857142857143
2016-12-13,78.85714285714286
2016-12-14,78.28571428571429
2016-12-15,77.71428571428571
2016-12-16,77.14285714285714
2016-12-17,76.57142857142857
2016-12-18,76.0
2016-12-19,75.42857142857143
2016-12-20,74.85714285714286
2016-12-21,74.28571428571429
2016-12-22,73.71428571428571
2016-12-23,73.14285714285714
2016-12-24,72.57142857142857
2016-12-25,72.0
